date,hpi,hmi,bci,hs,hc,pa,sh,ce,cs,hms,ppil,ppic,cpi,awh,ahe,plr,ms,mr
1991-01-01,100,20,"2,720.00",604,61.1,37.6,"148,600",610,,9.4,127.6,,,,,9.5,827.2,9.64
1991-02-01,100.45,27,"2,716.00",755,54.5,43.5,"147,800",600.3,,7.9,127.2,,,,,9,832.6,9.37
1991-03-01,100.48,36,"2,715.00",750,63.1,61.2,"156,400",598,,7.3,127.8,,,,,9,838.7,9.5
1991-04-01,100.33,41,"2,709.00",819,62,75.7,"150,800",587.6,,7.3,129.2,,,,,9,843.1,9.49
1991-05-01,100.39,40,"2,723.00",839,62.2,78.1,"145,400",584.8,,7,132.3,,,,,8.5,848.8,9.47
1991-06-01,100.51,42,"2,733.00",874,73.3,73.9,"145,900",579.9,,7,136.2,,,,,8.5,856.7,9.62
1991-07-01,100.55,41,"2,757.00",887,70,74.9,"148,200",574.1,,7.1,136.9,,,,,8.5,861.6,9.58
1991-08-01,100.38,36,"2,792.00",882,75.4,69.9,"141,800",569.3,,6.8,133.3,,,,,8.5,866.8,9.24
1991-09-01,100.62,37,"2,785.00",868,80.6,64.2,"147,300",568.2,,7.4,133.4,,,,,8.2,869.7,9.01
1991-10-01,100.92,37,"2,786.00",878,84.3,70.4,"147,400",563.3,,6.7,133.2,,,,,8,878,8.86
1991-11-01,101.42,37,"2,791.00",916,71.3,52.6,"141,700",558.2,,6.2,133.4,,,,,7.6,887.6,8.71
1991-12-01,101.88,35,"2,784.00",947,79.7,51.7,"143,000",554.8,,6.2,134.6,,,,,7.2,897,8.5
1992-01-01,102.24,44,"2,784.00",969,59.7,55.2,"144,200",551.4,,5.2,137.6,,,,,6.5,910.4,8.43
1992-02-01,102.96,49,"2,775.00","1,102.00",63.4,61.1,"144,800",545.6,,4.9,142.9,,,,,6.5,925.2,8.76
1992-03-01,102.82,46,"2,799.00","1,037.00",70.5,82.4,"144,800",544.7,,6.1,145.7,,,,,6.5,936.7,8.94
1992-04-01,102.57,46,"2,809.00",945,67.3,88,"145,000",542.6,,6.1,147.5,,,,,6.5,943.8,8.85
1992-05-01,102.59,47,"2,828.00","1,038.00",79.7,82.7,"146,000",542.6,,6,147.6,,,,,6.5,950.6,8.67
1992-06-01,102.52,45,"2,838.00",999,86.5,91.6,"146,600",542.7,,5.6,146.3,,,,,6.5,954.3,8.51
1992-07-01,102.87,46,"2,845.00",984,86.8,83.3,"137,700",546.7,,5.3,145.3,,,,,6,963.3,8.13
1992-08-01,103.33,49,"2,854.00","1,037.00",86.9,76.6,"145,300",553,,5.2,145.4,,,,,6,973.7,7.98
1992-09-01,103.72,48,"2,857.00","1,024.00",88.8,80.1,"142,200",556.9,,5,148.7,,,,,6,988,7.92
1992-10-01,104.03,50,"2,867.00","1,093.00",93.3,80.3,"148,400",558,,5.1,148.7,,,,,6,1003.7,8.09
1992-11-01,104.31,54,"2,873.00","1,078.00",84.6,63.8,"147,200",560,,5.4,149.5,,,,,6,1015.7,8.31
1992-12-01,104.21,56,"2,875.00","1,075.00",96.2,65.8,"146,200",560.2,,5,154.4,,,,,6,1024.9,8.21
1993-01-01,104.27,55,"2,886.00","1,091.00",69.6,55.1,"138,900",563.4,,5.4,160.2,,,,,6,1030.4,7.99
